person_id;person_trip_id;origin_x;origin_y;destination_x;destination_y;departure_time;travel_time;vehicle_distance;routed_distance;mode;preceding_purpose;following_purpose;returning;euclidean_distance
99512;2;1176880.0952770123;6111098.589680623;1175754.81619568;6107536.221248617;49670.0;708.0;4784.656040028098;4784.656040028098;car;home;work;false;3735.8696251657293
292709;2;1228704.689646385;6198825.50403575;1228201.0868776448;6199523.462220792;49808.0;576.0;2004.1964962707702;2004.1964962707702;car;home;work;false;860.6749541777803
94750;5;1176273.765278474;6108365.1840215;1176557.379408841;6108723.285846336;50283.0;105.0;728.9289709553498;728.9289709553498;car;leisure;work;false;456.8083754646431
18842;2;1216526.2066819225;6051994.368479067;1216066.7369962474;6051889.619895773;50055.0;336.0;1510.9122295530256;1510.9122295530256;car;home;work;false;471.25858905337697
135809;5;1222851.8553677713;6075657.593652125;1224278.5298903692;6075258.064479375;49949.0;453.0;2961.3685290105796;2961.3685290105796;car;leisure;work;false;1481.5612553344313
311591;5;1228640.3321677165;6188029.242412787;1229068.3767409849;6187625.60298111;50177.0;232.0;818.2384255642914;818.2384255642914;car;leisure;work;false;588.3425426644823
315582;2;1175516.513150835;6109450.962562453;1176656.1519422848;6108368.803648474;50117.0;293.0;2038.8752240822423;2038.8752240822423;car;home;work;false;1571.5738894758051
298503;2;1228632.7336392808;6199048.542356319;1228244.8148907982;6199163.76276608;49871.0;541.0;0.0;650.0811311868105;walk;home;work;false;404.66862770647117
275266;2;1227527.475193927;6197000.720320034;1228558.9887835528;6199539.881061401;49924.0;502.0;4554.237440137766;4554.237440137766;car;home;work;false;2740.6855996417853
114860;2;1175602.2208361803;6107680.572520892;1176726.273292447;6109758.64037946;50044.0;384.0;3109.1565810896013;3109.1565810896013;car;home;work;false;2362.5960190541214
181372;2;1237394.5857809414;6158348.338605808;1237315.593295953;6157979.2879002355;49764.0;666.0;0.0;799.4678662359161;walk;home;work;false;377.4099044384913
47452;0;1195909.3402530693;6093660.086429142;1198624.519153517;6076459.577878596;31376.0;19064.0;0.0;22877.78164050816;walk;home;work;false;17413.491633180485
123598;2;1176397.5382104777;6108480.607379755;1176496.4454134926;6108914.594288156;50253.0;189.0;1118.0480881675041;1118.0480881675041;car;home;work;false;445.11489693337745
177810;0;1235255.1389757798;6159049.452083526;1236431.2201341598;6159091.422124205;49963.0;480.0;0.0;3647.552055981426;car_passenger;home;other;false;1176.8297988286558
143987;2;1224157.5262033301;6075400.150981385;1224427.180651683;6075182.707494253;50235.0;215.0;1172.1576890687281;1172.1576890687281;car;home;work;false;346.40322113476157
212982;0;1188215.9473284332;6188009.759244382;1186831.5537809986;6188635.100320609;49968.0;483.0;0.0;2989.7521050658047;car_passenger;home;other;false;1519.0776661498119
173917;2;1237315.593295953;6157979.2879002355;1237315.593295953;6157979.2879002355;50070.0;384.0;0.0;460.9548643264829;walk;home;work;false;0.0
172778;2;1237315.593295953;6157979.2879002355;1237315.593295953;6157979.2879002355;50070.0;384.0;0.0;460.9548643264829;walk;home;work;false;0.0
195306;0;1186844.7404795068;6188533.132111143;1185988.3649812199;6187437.975165442;50222.0;238.0;0.0;1760.2643005642612;car_passenger;home;other;false;1390.232976800943
141935;2;1224555.8249106728;6076359.564714819;1224184.4972445222;6075177.6873764135;50111.0;352.0;2079.6534970752114;2079.6534970752114;car;home;work;false;1238.837470649729
256199;2;1210085.8565916438;6147100.040308222;1209526.4415228104;6147165.064161032;50225.0;239.0;998.1370488145706;998.1370488145706;car;home;work;false;563.1814278473302
185226;1;1231069.3602642738;6181482.358988945;1226768.0640080844;6192589.680784135;40540.0;9934.0;12932.159849005688;17024.189722778745;pt;work;home;true;11911.076649296101
108637;2;1177179.2784829114;6110965.2699105255;1176001.4403518008;6107836.804014247;49879.0;599.0;4209.5489463972635;4209.5489463972635;car;home;work;false;3342.8433297533725
290771;2;1228744.4447800862;6198640.246402841;1227964.5982061364;6199768.577428874;49481.0;1006.0;0.0;1933.506397102302;eScooter;home;work;false;1371.6018311481407
139319;5;1224481.533617063;6075258.6243933095;1224316.2101658676;6075189.7053636145;50280.0;229.0;0.0;274.9213914429813;walk;leisure;work;false;179.11358454692453
