Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
40	18:06:29	18:06:29	18:06:29	18:06:29	18:06:30	18:06:30	18:06:30	18:06:30	18:06:30	18:06:30	18:06:30	18:06:30	18:06:41	18:06:41	18:06:41	18:06:41	18:06:41	18:06:41	18:06:41	18:06:41	18:06:47	18:06:47		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:10	00:00:00	00:00:00	00:00:00	00:00:06	00:00:18
41	18:06:47	18:06:47	18:06:47	18:06:47	18:06:48	18:06:48	18:06:48	18:06:48	18:06:48	18:06:48	18:06:49	18:06:49	18:07:00	18:07:00	18:07:00	18:07:00	18:07:00	18:07:00			18:07:01	18:07:01		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:01	00:00:13
42	18:07:01	18:07:01	18:07:01	18:07:01	18:07:02	18:07:02	18:07:02	18:07:02	18:07:02	18:07:02	18:07:02	18:07:02	18:07:13	18:07:13	18:07:13	18:07:13	18:07:13	18:07:13			18:07:14	18:07:14		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:01	00:00:13
43	18:07:14	18:07:14	18:07:14	18:07:14	18:07:15	18:07:15	18:07:15	18:07:15	18:07:15	18:07:15	18:07:16	18:07:16	18:07:27	18:07:27	18:07:27	18:07:27	18:07:27	18:07:27			18:07:28	18:07:28		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:01	00:00:13
44	18:07:28	18:07:28	18:07:28	18:07:28	18:07:28	18:07:28	18:07:28	18:07:29	18:07:29	18:07:29	18:07:29	18:07:29	18:07:41	18:07:41	18:07:41	18:07:41	18:07:41	18:07:41			18:07:43	18:07:43		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:12	00:00:00	00:00:00		00:00:01	00:00:14
45	18:07:43	18:07:43	18:07:43	18:07:43	18:07:44	18:07:44	18:07:44	18:07:44	18:07:44	18:07:44	18:07:44	18:07:44	18:07:55	18:07:55	18:07:55	18:07:55	18:07:55	18:07:55			18:07:57	18:07:57		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:01	00:00:13
46	18:07:57	18:07:57	18:07:57	18:07:57	18:07:57	18:07:57	18:07:57	18:07:58	18:07:58	18:07:58	18:07:58	18:07:58	18:08:09	18:08:09	18:08:09	18:08:09	18:08:09	18:08:09			18:08:10	18:08:10		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:01	00:00:13
47	18:08:11	18:08:11	18:08:11	18:08:11	18:08:11	18:08:11	18:08:11	18:08:11	18:08:11	18:08:11	18:08:11	18:08:11	18:08:22	18:08:22	18:08:22	18:08:22	18:08:22	18:08:22			18:08:23	18:08:23		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:01	00:00:12
48	18:08:23	18:08:23	18:08:23	18:08:23	18:08:23	18:08:23	18:08:23	18:08:24	18:08:24	18:08:24	18:08:24	18:08:24	18:08:35	18:08:35	18:08:35	18:08:35	18:08:35	18:08:35			18:08:36	18:08:36		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:01	00:00:12
49	18:08:36	18:08:36	18:08:36	18:08:36	18:08:36	18:08:36	18:08:36	18:08:37	18:08:37	18:08:37	18:08:37	18:08:37	18:08:47	18:08:47	18:08:47	18:08:47	18:08:47	18:08:47			18:08:48	18:08:48		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:01	00:00:12
50	18:08:49	18:08:49	18:08:49	18:08:49	18:08:49	18:08:49	18:08:49	18:08:49	18:08:49	18:08:49	18:08:49	18:08:49	18:09:00	18:09:00	18:09:00	18:09:00	18:09:00	18:09:00	18:09:00	18:09:00	18:09:04	18:09:04		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:10	00:00:00	00:00:00	00:00:00	00:00:04	00:00:15
